wavelength,absorptivity_lactate,absorptivity_protein,absorptivity_water
2117,66.81140689478096,-31.856544201357057,35.46009287145468
2118,66.59004060111457,-31.267167407008696,35.20910966330595
2119,66.34460242557168,-30.0307834361736,34.97765858199456
2120,66.09257213396192,-29.57336157805025,34.73812992449917
2121,65.93092127180957,-28.81567903342081,34.49409634353108
2122,65.70625424994827,-27.885015811362727,34.262994601440596
2123,65.45704078224689,-26.989233323935565,34.04214984484778
2124,65.24416245935002,-25.081771631623955,33.806708039557144
2125,65.05094569008774,-24.827283432388253,33.591227919255886
2126,64.83623868638877,-23.545840880125127,33.39305364682396
2127,64.59105730562501,-23.03673003563009,33.1785682694573
2128,64.4075376782896,-22.631253888326626,32.96280018425224
2129,64.16600819381682,-21.54792126969899,32.76480540268936
2130,63.925147772920255,-21.231028522785724,32.562441279862924
2131,63.72428484716022,-19.31070919349849,32.35217914870424
2132,63.44484223440795,-17.414184674192885,32.1690419453683
2133,63.201637485391416,-16.969466750636855,31.98218257869305
2134,63.04040807979175,-16.104744724208036,31.780828538380486
2135,62.79859744355696,-15.3790171156633,31.59863556135768
2136,62.43484384629397,-12.648028805726408,31.43543155411944
2137,62.18381791282198,-10.840480540951122,31.266853771601006
2138,62.01009076992945,-10.101207866501335,31.08630546888972
2139,61.81902382704493,-9.373646234299684,30.922684769696296
2140,61.55462969483452,-6.81962756122325,30.754618302659196
2141,61.19481317046945,-5.173379433376644,30.583284933472445
2142,60.99742775179343,-3.915402969569895,30.430297659539306
2143,60.693295091665,-3.0092941387001577,30.282057612670684
2144,60.39322948048558,-1.4244062750734623,30.11301063065914
2145,60.136262735403726,-0.0233786861371532,29.953581032602756
2146,59.918557376327655,0.7211616147379651,29.822923336182868
2147,59.651711436732,1.3223685306072133,29.680830290851777
2148,59.288400038961775,3.8019239395384927,29.535938852076516
2149,58.938172071383185,5.233224761834238,29.404887763334973
2150,58.65624868190415,7.716847821402877,29.264541732784448
2151,58.36989007941894,8.945801282964224,29.11901397206337
2152,58.02324725911151,9.770539970039788,28.986233437124014
2153,57.71222273739085,11.935457050099211,28.871550393164863
2154,57.45512331557562,14.208885126979355,28.736183908015118
2155,57.12864230597576,16.19202339702882,28.59511559427213
2156,56.75009351373139,17.706883186416107,28.481277288157333
2157,56.43959781956034,19.03475113761984,28.3663436528026
2158,56.17142760186028,21.231167567135994,28.25041307289323
2159,55.90271816988091,22.81367993153785,28.14675851627932
2160,55.49211758852748,25.012036791526768,28.04406759203242
2161,55.127115444313205,25.692500086705703,27.922918242886965
2162,54.8086745827513,27.51901317687448,27.809005225748244
2163,54.513814182437606,28.429939744385948,27.717225955949807
